STT,SrcIP,SrcPort,FlowDur(ns),TotalPkts,TotalBytes,MeanIAT(ns),lof_score,Normal
1,192.168.50.6,59077,42129,2,172,42129,52.459999,0
2,192.168.50.8,60360,38320,2,170,38320,16.959999,0
3,192.168.50.6,50183,46312,2,158,46312,58.959999,0
4,192.168.50.6,54851,28988011,14,1700,2229847,16.959999,0
5,192.168.50.8,60864,12467471,42,5180,304084,1.015000,1
6,192.168.50.8,60846,4757573,20,1514,250398,0.987000,1
7,192.168.50.6,56143,4589186,16,1250,305945,0.975000,1
8,192.168.50.6,54844,269422,4,252,89807,58.459999,0
9,192.168.50.8,55951,38239,2,158,38239,57.495998,0
10,192.168.50.8,60894,1417455,14,2014,109035,0.997000,1
11,172.217.12.206,80,4325292651,318,58310,13644456,16.959999,0
12,192.168.50.8,53267,30765,2,186,30765,44.995998,0
13,192.168.50.9,37312,4679229264,126,15570,37433834,50.995998,0
14,34.209.30.112,443,201108,8,580,28729,14.708000,0
15,192.168.50.8,57018,36425,2,152,36425,54.459999,0
16,192.168.50.8,60850,4633445,20,1514,243865,1.026000,1
17,192.168.50.8,60882,11071348,137,35410,81406,1.024000,1
18,192.168.50.8,55292,32601,2,168,32601,23.996000,0
19,192.168.50.6,63064,472713,4,340,157571,16.959999,0
20,192.168.50.8,60781,16665579,12,1010,1515052,1.093000,1
21,192.168.50.6,56169,1567870,16,2652,104524,1.004000,1
22,192.168.50.8,60860,1294010,14,2512,99539,0.997000,1
23,192.168.50.6,54821,99903118,16,1840,6660207,34.995998,0
24,192.168.50.8,59605,137056900,20,2960,7213521,31.996000,0
25,192.168.50.6,54838,21928494,16,2522,1461899,16.459999,0
26,192.168.50.8,55174,33212,2,162,33212,26.496000,0
27,192.168.50.6,60512,29022,2,152,29022,13.996000,0
28,192.168.50.8,55151,38881,2,146,38881,41.959999,0
29,192.168.50.8,60873,8496715,16,1586,566447,1.007000,1
30,192.168.50.6,54815,100133715,14,1434,7702593,16.959999,0
31,192.168.50.8,59600,133317265,30,4084,4597147,16.959999,0
32,192.168.50.6,50362,390251,4,356,130083,16.459999,0
33,192.168.50.8,60409,51829,2,176,51829,40.532001,0
34,192.168.50.6,58003,43904,2,170,43904,24.424000,0
35,192.168.50.8,52762,34536,2,152,34536,15.996000,0
36,192.168.50.6,56166,2065682,28,3816,76506,1.062000,1
37,192.168.50.6,56876,49191,2,154,49191,16.532000,0
38,192.168.50.9,57932,1564,2,148,1564,1.082000,1
39,172.217.2.170,443,404229,40,11678,10364,1.037000,1
40,52.85.89.250,443,51053140,94,70072,548958,32.959999,0
41,192.168.50.6,54814,23248094,20,2800,1223583,47.959999,0
42,192.168.50.8,52859,31413,2,146,31413,16.959999,0
43,192.168.50.8,60484,39604,2,158,39604,47.995998,0
44,192.168.50.6,63893,53822,2,148,53822,4.532000,0
45,192.168.50.8,59597,730787016,26,3836,29231480,5.888000,0
46,192.168.50.8,56051,32298,2,166,32298,64.031998,0
47,192.168.50.8,60857,4129204,20,1514,217326,1.046000,1
48,192.168.50.8,59595,35572901,16,1788,2371526,33.459999,0
49,192.168.50.6,54854,3243689,18,2714,190805,16.459999,0
50,192.168.50.6,56148,2428993,18,1130,142881,0.994000,1
51,192.168.50.8,59607,120828821,34,5964,3661479,49.995998,0
52,192.0.73.2,80,3727056415,40,12050,95565549,39.208000,0
53,192.168.50.8,59604,777069,20,2900,40898,26.424000,0
54,192.168.50.8,52621,20626521,2,168,20626521,22.424000,0
55,192.168.50.8,60878,5536316,8,492,790902,0.992000,1
56,192.168.50.8,54503,31226,2,138,31226,16.959999,0
57,192.168.50.8,59606,114630927,18,3116,6742995,52.459999,0
58,192.168.50.6,53406,53710,2,170,53710,46.495998,0
59,192.168.50.8,50301,533496507,8,712,76213786,35.459999,0
60,192.168.50.8,55186,33965,2,146,33965,59.995998,0
61,192.168.50.6,54852,29024102,14,1700,2232623,16.959999,0
62,192.168.50.8,60886,4162292,20,2536,219068,0.970000,1
63,172.16.0.5,31151,38432646,28,4614,1423431,16.959999,0
64,192.168.50.6,58734,21652900,2,154,21652900,16.959999,0
65,192.168.50.6,54834,91584,2,132,91584,10.496000,0
66,192.168.50.8,59599,153995808,35,7028,4529288,23.247999,0
67,192.168.50.8,62338,34173,2,174,34173,31.032000,0
68,192.168.50.6,54879,115985,2,132,115985,2.960000,0
69,192.168.50.6,54823,41007,2,132,41007,28.459999,0
70,192.168.50.8,65283,25786,2,160,25786,50.032001,0
71,192.168.50.6,54829,47804,2,132,47804,32.495998,0
72,172.217.1.162,443,3347005912,272,194904,12350575,43.495998,0
73,192.168.50.6,56125,4027167,16,1250,268477,1.006000,1
74,192.168.50.8,59608,121308670,83,20159,1479374,0.460000,1
75,192.168.50.6,56164,1870208,8,492,267172,1.101000,1
76,192.168.50.6,52629,59506,2,170,59506,26.496000,0
77,172.217.2.166,443,2272562692,93,25387,24701768,16.959999,0
78,192.168.50.8,62298,46836,2,148,46836,32.495998,0
79,192.168.50.8,60872,8613286,18,1718,506663,1.007000,1
80,192.168.50.6,57346,49743,2,154,49743,54.032001,0
81,192.168.50.8,62421,33448,2,174,33448,15.996000,0
82,192.168.50.8,59614,76219998,28,5884,2822962,33.959999,0
83,192.168.50.8,60871,1249,2,132,1249,1.067000,1
84,192.168.50.6,54843,51465,2,132,51465,58.068001,0
85,192.168.50.6,54804,457455,6,440,91491,14.388000,0
86,192.168.50.8,58785,38691,2,160,38691,16.959999,0
87,192.168.50.6,54872,280173716,403,62084,696949,9.172000,0
88,192.168.50.8,64535,33404,2,174,33404,30.959999,0
89,192.168.50.6,53166,201411,4,368,67137,40.995998,0
90,52.85.90.206,443,4376875385,862,929397,5083478,36.495998,0
91,192.168.50.6,54856,90370,2,132,90370,58.495998,0
92,192.168.50.8,60944,38561,2,174,38561,9.532000,0
93,192.168.50.6,51640,287730,4,340,95910,45.459999,0
94,192.168.50.8,55657,36788,2,166,36788,57.032001,0
95,192.168.50.8,60891,7679961,36,12158,219427,1.015000,1
96,192.168.50.6,54857,2649235,20,2834,139433,32.424000,0
97,192.168.50.6,52583,123043,2,170,123043,16.959999,0
98,192.168.50.8,60854,4165162,20,1514,219219,0.970000,1
99,192.168.50.8,60880,11365067,86,18032,133706,1.045000,1
100,192.168.50.8,60713,30855,2,186,30855,7.496000,0
101,192.168.50.6,55971,348417,4,320,116139,2.960000,0
102,192.168.50.6,54560,27071,2,120,27071,37.995998,0
103,192.168.50.6,56174,1156463,22,5352,55069,1.035000,1
104,192.168.50.6,54853,100257721,120,24158,842501,0.460000,1
105,192.168.50.9,48208,182683,8,682,26097,16.959999,0
106,192.168.50.6,49752,19660145,2,172,19660145,27.888000,0
107,192.168.50.8,60869,2235295682,4,278,745098560,58.888000,0
108,192.168.50.8,59611,79568096,29,6472,2841717,48.495998,0
109,192.168.50.6,56154,5397716,50,13935,110157,1.002000,1
110,192.168.50.6,56155,1697202,16,960,113146,1.032000,1
111,192.168.50.8,59594,14998393,38,4902,405361,7.924000,0
112,192.168.50.6,55346,90517,2,160,90517,54.459999,0
113,192.168.50.8,60852,4281907,16,1250,285460,1.043000,1
114,192.168.50.8,53186,53953,2,142,53953,32.532001,0
