STT,SrcIP,SrcPort,FlowDur(ns),TotalPkts,TotalBytes,MeanIAT(ns),Normal
1,192.168.50.8,54503,38499,2,138,38499,0
2,192.168.50.6,54914,29977962,56,16059,545053,0
3,192.168.50.6,54861,52812044,12,1592,4801094,0
4,192.168.50.8,52983,38903,2,176,38903,0
5,192.168.50.6,54818,3993461517,12,1558,363041956,0
6,192.168.50.8,64535,36962,2,174,36962,0
7,192.168.50.6,56147,6658498,16,1250,443899,1
8,192.168.50.6,61026,129778,2,150,129778,0
9,192.168.50.6,54801,13457937,6,440,2691587,0
10,192.168.50.8,59612,55465282,18,2380,3262663,0
11,192.168.50.8,60870,1782,2,132,1782,1
12,192.168.50.6,62431,172653,4,336,57551,0
13,192.168.50.6,54885,576978,8,1352,82425,0
14,192.168.50.8,59595,41188270,16,1788,2745884,0
15,192.168.50.8,52093,71688,2,172,71688,0
16,172.16.0.5,41077,214771660,16,960,14318110,0
17,192.168.50.6,54826,51208,2,132,51208,0
18,192.168.50.9,55330,2906,2,148,2906,1
19,192.168.50.8,62093,52513,2,174,52513,0
20,192.168.50.8,57360,49516,2,174,49516,0
21,192.168.50.6,56156,5103935,16,1194,340262,1
22,192.168.50.6,51640,269214,4,340,89738,0
23,192.168.50.6,54917,98355,2,132,98355,0
24,192.168.50.6,54831,43025,2,132,43025,0
25,192.168.50.6,56385,65418,2,146,65418,0
26,192.168.50.8,60895,8582554,84,29134,103404,1
27,54.192.55.39,443,116481,4,264,38827,0
28,192.168.50.6,65408,59732,2,184,59732,0
29,192.168.50.6,55971,334122,4,320,111374,0
30,192.168.50.9,57934,1867,2,148,1867,1
31,192.168.50.8,52859,38971,2,146,38971,0
32,192.168.50.6,54894,482260,8,1514,68894,0
33,192.168.50.8,59383,131901,2,148,131901,0
34,192.168.50.6,56116,14536799,30,2870,501268,1
35,172.217.3.100,443,4602637100,194,67167,23847860,0
36,192.168.50.8,60926,1432891983,8,688,204698854,0
37,192.168.50.6,54880,29577706,14,890,2275208,0
38,192.168.50.8,60824,13240685,34,2862,401232,1
39,192.168.50.8,60856,4139769,20,1514,217882,1
40,192.168.50.8,60889,10104047,56,9998,183709,1
41,192.168.50.8,60215,46220,2,170,46220,0
42,172.217.197.154,443,4670102521,91,26298,51890028,0
43,192.168.50.6,54864,58939204,50,12760,1202840,0
44,172.16.0.5,41860,256447596,22,1320,12211790,0
45,52.34.248.21,443,26123361,9,590,3265420,0
46,192.168.50.8,60846,5780428,20,1514,304233,1
47,192.0.73.2,80,3716800053,46,12396,82595556,0
48,192.168.50.8,59594,18890671,38,4902,510558,0
49,172.217.9.226,443,4371572099,985,570444,4442654,0
50,192.168.50.9,37312,4679278965,126,15570,37434231,0
51,192.168.50.8,51666,40276,2,178,40276,0
52,192.168.50.8,56051,40005,2,166,40005,0
53,192.168.50.8,60892,9378549,36,3052,267958,1
54,192.168.50.8,60869,1800,2,132,1800,1
55,192.168.50.6,52303,63800,2,148,63800,0
56,192.168.50.6,61602,62972,2,144,62972,0
57,192.168.50.9,41488,675486,12,882,61407,0
58,192.168.50.6,56701,4168991675,31,12716,138966389,0
59,192.168.50.8,60852,6136180,16,1250,409078,1
60,192.168.50.8,60484,53010,2,158,53010,0
61,192.168.50.8,60781,16284877,12,1010,1480443,1
62,192.168.50.6,52308,94299,2,154,94299,0
63,192.168.50.6,57346,51839,2,154,51839,0
