STT,SrcIP,SrcPort,FlowDur(ns),TotalPkts,TotalBytes,MeanIAT(ns),lof_score,Normal
1,192.168.50.8,59607,25524878,26,5354,1020995,50.495998,0
2,192.168.50.3,0,8599082052,25,2450,358295085,16.459999,0
3,192.168.50.8,60845,3960041,20,1514,208423,0.991000,1
4,192.168.50.8,58975,118715,2,164,118715,2.960000,0
5,172.16.0.5,31151,78681917,28,4614,2914145,16.959999,0
6,172.217.12.174,443,49482869,8,572,7068981,49.495998,0
7,192.168.50.6,54838,23670940,16,2522,1578062,36.495998,0
8,192.168.50.8,57360,55269,2,174,55269,16.996000,0
9,192.168.50.8,59614,79484789,40,7118,2038071,65.496002,0
10,192.168.50.6,56148,2821780,18,1130,165987,1.007000,1
11,192.168.50.6,54864,3154254,42,12150,76933,20.424000,0
12,192.168.50.8,65282,53032,2,160,53032,37.495998,0
13,192.168.50.8,55657,60293,2,166,60293,5.996000,0
14,192.168.50.6,54914,27603359,12,930,2509396,53.495998,0
15,192.168.50.6,51640,277914,4,340,92638,16.459999,0
16,192.168.50.8,60872,8283916,18,1718,487289,1.019000,1
17,192.168.50.6,54849,54823986,32,4370,1768515,48.959999,0
18,192.168.50.6,56163,820538,10,1470,91170,1.005000,1
19,192.168.50.8,52762,61404,2,152,61404,26.496000,0
20,23.194.108.29,443,119955,6,458,23991,16.459999,0
21,192.168.50.8,59605,136219029,24,3250,5922566,64.496002,0
22,192.168.50.8,59641,26716417,4,480,8905472,51.995998,0
23,172.217.11.6,443,4423644626,1061,964862,4173249,16.959999,0
24,192.168.50.8,59604,1214282,20,2900,63909,1.424000,0
25,192.168.50.6,54902,60596,2,132,60596,35.495998,0
26,192.168.50.6,54799,3844735935,8,600,549247990,9.668000,0
27,192.168.50.6,54869,23525127,4,320,7841709,50.495998,0
28,192.168.50.8,56531,52835,2,160,52835,47.995998,0
29,192.168.50.8,60853,3412570,26,1610,136502,1.039000,1
30,172.16.0.5,59346,25490093,6,412,5098018,31.459999,0
31,192.168.50.8,61001,51041,2,152,51041,60.532001,0
32,192.168.50.8,60891,7590854,36,12158,216881,1.002000,1
33,192.168.50.6,54843,54224,2,132,54224,37.459999,0
34,192.168.50.6,54841,53303,2,132,53303,5.496000,0
35,192.168.50.8,60862,6275197,8,492,896456,1.248000,1
36,34.209.30.112,443,271848,8,580,38835,31.924000,0
37,192.168.50.8,60893,6116944,36,12142,174769,0.995000,1
38,192.168.50.8,59612,52837,2,132,52837,29.996000,0
39,192.168.50.6,54800,7702304,6,440,1540460,41.924000,0
40,192.168.50.8,56770,57280,2,178,57280,45.959999,0
41,192.168.50.6,54917,26995968,12,930,2454178,52.495998,0
42,192.168.50.8,52621,90006,2,168,90006,39.032001,0
43,192.168.50.8,59200,53680,2,170,53680,58.495998,0
44,192.168.50.6,54837,28684802,12,1346,2607709,0.960000,1
45,192.168.50.6,56145,5010843,16,1250,334056,1.000000,1
46,192.168.50.6,54859,26317264,20,2834,1385119,0.960000,1
47,192.168.50.6,54911,2260056,17,3104,141253,5.424000,0
48,52.39.131.77,443,501091525,30,8260,17279018,19.636000,0
49,192.168.50.6,54560,24334,2,120,24334,3.888000,0
50,172.217.6.234,443,4251528468,168,40095,25458254,16.459999,0
51,23.194.177.32,443,90626474,28,12852,3356536,65.496002,0
52,192.168.50.6,54873,56017,2,132,56017,59.032001,0
53,192.168.50.8,59639,38757420,70,13768,561701,47.959999,0
54,192.168.50.8,64858,57806,2,154,57806,13.996000,0
55,151.101.2.2,443,2609,2,148,2609,0.978000,1
56,192.168.50.8,55174,57711,2,162,57711,4.532000,0
57,192.168.50.6,56167,2587651,26,3698,103506,1.022000,1
58,172.16.0.5,52312,229058070,18,1080,13474004,45.672001,0
59,192.168.50.6,56154,5812708,50,13935,118626,1.004000,1
60,192.168.50.8,60877,5403612,8,492,771944,0.999000,1
61,192.168.50.6,54831,52261,2,132,52261,18.496000,0
62,192.168.50.6,61122,54480,2,162,54480,16.996000,0
63,172.217.0.226,443,871598,24,2080,37895,0.967000,1
64,172.16.0.5,44193,345205,4,240,115068,30.959999,0
65,192.168.50.6,60614,58133,2,168,58133,24.996000,0
66,192.168.50.6,56150,5016198,16,1250,334413,1.000000,1
67,192.168.50.9,42676,2476,2,148,2476,1.159000,1
68,192.168.50.6,54868,25709190,14,2128,1977630,36.495998,0
69,192.168.50.6,62285,172987,4,312,57662,45.495998,0
70,192.168.50.8,60890,9515355,52,14012,186575,1.001000,1
71,192.168.50.6,54912,428852010,24,3666,18645739,16.459999,0
72,192.168.50.8,65283,48277,2,160,48277,31.959999,0
73,192.168.50.8,53684,50880,2,148,50880,9.068000,0
74,192.168.50.8,60944,53750,2,174,53750,36.495998,0
75,192.168.50.8,59634,62928948,20,1460,3312049,16.459999,0
76,192.168.50.6,54814,29326738,20,2800,1543512,64.959999,0
