STT,SrcIP,SrcPort,FlowDur(ns),TotalPkts,TotalBytes,MeanIAT(ns),Normal
1,192.168.50.6,54804,689614,6,440,137922,0
2,192.168.50.9,57940,2414,2,148,2414,1
3,192.168.50.8,60497,46956,2,150,46956,0
4,192.168.50.8,55174,49819,2,162,49819,0
5,192.168.50.8,60860,131504,14,2512,10115,1
6,192.168.50.8,50301,509839397,8,712,72834199,0
7,192.168.50.8,62421,51061,2,174,51061,0
8,192.168.50.8,51821,47998,2,178,47998,0
9,192.168.50.6,56164,1929507,8,492,275643,1
10,192.168.50.8,49641,50903,2,148,50903,0
11,192.168.50.8,64535,39633,2,174,39633,0
12,172.217.197.154,443,4658740231,93,26522,50638480,0
13,192.168.50.6,60614,54003,2,168,54003,0
14,192.168.50.9,51078,2742,2,148,2742,1
15,192.168.50.8,55951,50206,2,158,50206,0
16,172.217.9.226,443,4350871709,1284,813269,3391170,0
17,192.168.50.8,53684,51108,2,148,51108,0
18,52.85.90.206,443,4343355030,1134,1324533,3833499,0
19,192.168.50.8,60863,10991541,44,5140,255617,1
20,192.168.50.8,65282,50236,2,160,50236,0
21,192.168.50.6,55971,465422,4,320,155140,0
22,192.168.50.9,51074,108562,2,148,108562,1
23,172.217.3.106,443,4347665603,293,194437,14889265,0
24,192.168.50.6,54815,45030313,16,2136,3002020,0
25,172.217.10.138,443,49590126,24,7216,2156092,0
26,23.63.78.40,80,4151688316,213,22214,19583435,0
27,192.168.50.8,59613,657457,8,1352,93922,0
28,192.168.50.8,52670,53693,2,154,53693,0
29,192.168.50.8,61172,56861,2,148,56861,0
30,192.168.50.8,60867,10564254,36,3044,301835,1
31,192.168.50.8,58785,58525,2,160,58525,0
32,192.168.50.8,60887,1073173,18,2714,63127,1
33,192.168.50.9,51082,1507,2,148,1507,1
34,192.168.50.8,59599,115126301,33,6908,3597696,0
35,192.168.50.9,46826,527265,12,888,47933,0
36,192.168.50.8,60895,7552938,84,29134,90999,1
37,192.168.50.8,60874,1952,2,132,1952,1
38,192.168.50.6,54814,20950946,20,2800,1102681,0
39,192.168.50.8,60781,15601434,12,1010,1418312,1
40,192.168.50.9,57944,3089,2,148,3089,1
41,172.217.12.193,443,3988907964,245,112748,16347983,0
42,192.168.50.6,56149,7710257,16,1250,514017,1
43,192.168.50.8,59843,512120053,32,3802,16520001,0
44,34.209.30.112,443,173069440,16,1160,11537962,0
45,192.168.50.8,49985,51300,2,184,51300,0
46,192.168.50.8,59593,279567,6,388,55913,0
47,172.217.2.174,443,2975622619,11,764,297562261,0
48,192.168.50.8,51666,51552,2,178,51552,0
49,192.168.50.3,0,12015927919,73,7154,166887887,0
50,172.217.9.238,80,139897230,16,1032,9326482,0
51,192.168.50.8,55876,49381,2,178,49381,0
52,192.168.50.8,60881,10488601,30,3782,361675,1
53,192.168.50.8,60871,1677,2,132,1677,1
54,192.168.50.8,60885,9350621,56,7226,170011,1
55,192.168.50.6,56142,6567573,16,1250,437838,1
56,52.28.108.167,443,7760890,8,528,1108698,0
57,192.168.50.8,60713,46129,2,186,46129,0
58,192.168.50.6,56165,2765501,46,10692,61455,1
59,192.168.50.8,60880,10845786,86,18032,127597,1
60,192.168.50.8,60215,53943,2,170,53943,0
61,192.168.50.8,59594,1987794,38,4902,53724,0
62,192.168.50.8,59200,59457,2,170,59457,0
