SrcIP,SrcPort,Feature0,Feature1,Feature2,Feature3,Feature4,Label
172.16.0.5,804,14136090,0,271,1087391,268,1
172.16.0.5,905,14168339,0,271,1089872,267,1
172.16.0.5,884,14159797,0,268,1089215,265,1
172.16.0.5,535,11785526,1,265,1071411,269,1
172.16.0.5,980,14155232,0,271,1088864,268,1
172.16.0.5,523,11785066,1,271,1071369,275,1
172.16.0.5,872,14143442,0,268,1087957,265,1
172.16.0.5,766,14138380,0,273,1087567,270,1
172.16.0.5,983,14160756,0,278,1089288,275,1
172.16.0.5,918,14156492,0,273,1088960,270,1
172.16.0.5,763,14139074,0,271,1087621,268,1
172.16.0.5,529,11784735,1,271,1071339,275,1
172.16.0.5,955,14150980,0,271,1088536,268,1
172.16.0.5,997,11790455,1,265,1071859,269,1
172.16.0.5,526,11784935,1,277,1071357,282,1
172.16.0.5,761,14139085,0,268,1087621,265,1
172.16.0.5,949,14150995,0,266,1088538,263,1
172.16.0.5,857,14143519,0,273,1087963,270,1
172.16.0.5,754,14138795,0,278,1087599,275,1
172.16.0.5,528,11784788,1,274,1071344,279,1
172.16.0.5,532,11785494,1,271,1071408,275,1
172.16.0.5,826,14139672,0,273,1087667,270,1
172.16.0.5,985,14160287,0,268,1089252,265,1
172.16.0.5,802,14136093,0,268,1087391,265,1
172.16.0.5,915,14155907,0,271,1088915,268,1
172.16.0.5,758,14138648,0,271,1087588,268,1
172.16.0.5,953,14151077,0,271,1088544,268,1
172.16.0.5,810,14136182,0,276,1087398,273,1
172.16.0.5,1018,11778770,1,274,1070797,279,1
172.16.0.5,820,14144194,0,271,1088014,268,1
172.16.0.5,972,14150382,0,260,1088490,257,1
172.16.0.5,787,14135464,0,271,1087343,268,1
172.16.0.5,867,11780137,1,280,1070921,285,0
172.16.0.5,881,14155608,0,268,1088892,265,1
172.16.0.5,786,14135443,0,271,1087341,268,1
172.16.0.5,785,14139828,0,268,1087679,265,1
172.16.0.5,880,14155609,0,263,1088893,260,1
172.16.0.5,823,14143573,0,276,1087967,273,1
172.16.0.5,1011,11783229,1,268,1071202,272,1
172.16.0.5,890,14168091,0,271,1089853,267,1
172.16.0.5,950,14151217,0,263,1088555,260,1
172.16.0.5,527,11784771,1,271,1071342,275,1
172.16.0.5,901,14172737,0,273,1090210,270,1
172.16.0.5,892,14168178,0,268,1089859,265,1
172.16.0.5,818,14143998,0,268,1087999,265,1
172.16.0.5,512,11779021,1,274,1070820,279,1
172.16.0.5,835,14140244,0,271,1087711,268,1
172.16.0.5,753,14138751,0,268,1087596,265,1
172.16.0.5,900,14172738,0,271,1090210,267,1
172.16.0.5,897,14168626,0,271,1089894,267,1
172.16.0.5,530,11784789,1,268,1071344,272,1
172.16.0.5,922,14156464,0,276,1088958,273,1
172.16.0.5,895,14168896,0,278,1089915,275,1
172.16.0.5,756,14138613,0,268,1087585,265,1
172.16.0.5,877,14155314,0,273,1088870,270,1
172.16.0.5,963,14154607,0,271,1088815,268,1
172.16.0.5,904,14168342,0,273,1089872,270,1
172.16.0.5,840,14134910,0,271,1087300,268,1
172.16.0.5,896,14168700,0,266,1089900,262,1
172.16.0.5,834,14140095,0,271,1087699,268,1
172.16.0.5,914,14155954,0,273,1088919,270,1
172.16.0.5,780,14139715,0,273,1087670,270,1
172.16.0.5,1004,11791232,1,268,1071930,272,1
172.16.0.5,536,11785640,1,283,1071421,288,0
172.16.0.5,888,14159940,0,271,1287267,229,1
172.16.0.5,825,14139670,0,271,1087666,268,1
172.16.0.5,784,14139779,0,276,1087675,273,1
172.16.0.5,793,14135361,0,266,1087335,263,1
172.16.0.5,898,14172969,0,281,1090228,277,1
172.16.0.5,513,11779019,1,271,1070819,276,1
172.16.0.5,824,14143854,0,283,1087988,280,1
172.16.0.5,524,11785085,1,268,1071371,273,1
172.16.0.5,871,14139329,0,273,1087640,270,1
172.16.0.5,800,14135746,0,268,1087365,265,1
172.16.0.5,817,14144153,0,273,1088011,270,1
172.16.0.5,846,14139384,0,271,1087644,268,1
172.16.0.5,856,14143470,0,265,1087959,263,1
172.16.0.5,781,14139397,0,268,1087645,265,1
172.16.0.5,809,14135604,0,268,1087354,265,1
172.16.0.5,788,14135257,0,268,1087327,265,1
172.16.0.5,799,14135763,0,268,1087366,265,1
