STT,SrcIP,SrcPort,FlowDur(ns),TotalPkts,TotalBytes,MeanIAT(ns),lof_score,Normal
1,23.194.108.29,443,227752,6,458,45550,16.959999,0
2,172.217.1.162,443,3733342471,332,238278,11278980,36.959999,0
3,192.168.50.8,60881,10655083,30,3782,367416,1.019000,1
4,192.168.50.6,56149,6124996,16,1250,408333,1.103000,1
5,192.168.50.8,60845,7357908,20,1514,387258,1.039000,1
6,192.168.50.9,57658,1120836,8,682,160119,30.459999,0
7,192.168.50.6,56123,4133864,16,1250,275590,1.000000,1
8,192.168.50.8,59605,91740489,20,2960,4828446,64.996002,0
9,192.168.50.8,60887,197448,18,2714,11614,0.995000,1
10,192.168.50.8,53808,104656,2,176,104656,27.496000,0
11,74.208.236.171,80,4655454302,1385,678917,3363767,48.495998,0
12,192.168.50.8,59612,31464277,18,2418,1850839,16.459999,0
13,192.168.50.8,56022,41680,2,148,41680,36.495998,0
14,192.168.50.8,59606,99228589,18,3116,5836975,4.424000,0
15,192.168.50.8,49687,53069,2,168,53069,64.531998,0
16,192.168.50.8,52983,90217690,4,346,30072563,51.959999,0
17,192.168.50.6,54820,313770653,84,14298,3780369,61.172001,0
18,172.16.0.5,41860,273036746,48,2880,5809292,64.996002,0
19,52.39.131.77,443,489485774,44,15552,11383390,16.959999,0
20,192.168.50.6,56116,13989627,30,2870,482400,1.011000,1
21,192.168.50.8,60360,57568,2,170,57568,27.496000,0
22,192.168.50.8,59596,21761838,4,252,7253946,26.712000,0
23,172.217.2.166,443,2654932491,119,28744,22499427,54.959999,0
24,192.168.50.6,54833,51127,2,132,51127,26.496000,0
25,192.168.50.8,60892,6902446,36,3052,197212,1.034000,1
26,192.168.50.8,62093,61061,2,174,61061,16.459999,0
27,192.168.50.6,56122,4433154,16,1250,295543,0.982000,1
28,192.168.50.8,62834,82048,2,158,82048,16.959999,0
29,192.168.50.9,37312,4679948470,126,15570,37439587,46.495998,0
30,192.168.50.6,54845,386706,4,252,128902,2.960000,0
31,192.168.50.8,60884,1720,2,132,1720,0.970000,1
