STT,SrcIP,SrcPort,FlowDur(ns),TotalPkts,TotalBytes,MeanIAT(ns),Normal
1,192.168.50.8,60886,4083194,20,2536,214904,1
2,192.168.50.8,52670,33395,2,154,33395,0
3,192.168.50.9,55330,1677,2,148,1677,1
4,192.168.50.8,53546,397058247,12,964,36096204,0
5,192.168.50.6,56147,5078480,16,1250,338565,1
6,192.168.50.8,59593,104781,6,388,20956,0
7,192.168.50.6,56154,5582207,50,13935,113922,1
8,192.168.50.8,56770,51314,2,178,51314,0
9,192.168.50.6,54820,346681144,84,14298,4176881,0
10,172.217.2.174,443,1850263676,23,6578,84102894,0
11,172.16.0.5,52312,325619489,68,4080,4859992,0
12,192.168.50.8,60845,4442911,20,1514,233837,1
13,172.217.2.98,443,2933860372,48,9464,62422561,0
14,192.168.50.9,42742,1605,2,148,1605,1
15,192.168.50.8,59610,71740813,101,13262,717408,0
16,192.168.50.8,55657,33425,2,166,33425,0
17,192.168.50.8,60883,10240461,30,3754,353119,1
18,192.168.50.9,51078,1257,2,148,1257,1
19,172.217.9.230,443,4347439042,673,591496,6469403,0
20,192.168.50.6,56148,1935494,18,1130,113852,1
21,192.168.50.8,64820,29838,2,146,29838,0
22,192.168.50.6,54801,6073054,6,440,1214610,0
23,192.168.50.6,54808,149773,6,388,29954,0
24,192.168.50.8,60856,4670546,20,1514,245818,1
25,192.168.50.6,56164,1847909,8,492,263987,1
26,192.168.50.8,53461,27460,2,172,27460,0
27,54.192.55.39,443,68539,4,264,22846,0
28,192.168.50.8,60887,946533,18,2714,55678,1
29,192.168.50.9,57934,2248,2,148,2248,1
30,192.168.50.6,56166,2490488,28,3816,92240,1
31,192.168.50.8,60880,11382865,86,18032,133916,1
32,192.168.50.8,60890,9567095,52,14012,187590,1
33,192.168.50.6,56174,1293681,22,5352,61603,1
34,192.168.50.8,60884,94645,2,132,94645,1
35,192.168.50.6,56159,5807952,42,5738,141657,1
36,192.168.50.6,54815,54790145,24,2616,2382180,0
37,192.168.50.9,51082,1157,2,148,1157,1
38,192.168.50.6,56122,4485864,16,1250,299057,1
39,192.168.50.8,60894,1297951,14,2014,99842,1
40,192.168.50.8,60857,4066305,20,1514,214016,1
41,192.168.50.8,60892,7192378,36,3052,205496,1
42,192.168.50.9,51074,1177,2,148,1177,1
43,172.217.2.164,443,1887234266,149,23601,12751582,0
44,192.168.50.9,41488,401119,12,882,36465,0
45,159.127.42.82,443,314128,15,10738,22437,1
46,192.168.50.8,60850,4230016,20,1514,222632,1
47,192.168.50.9,37652,151198,8,682,21599,0
48,172.16.0.5,46769,22264,2,120,22264,0
49,192.168.50.8,55186,32621,2,146,32621,0
50,192.168.50.6,56167,2487155,26,3698,99486,1
51,192.168.50.6,56149,4989206,16,1250,332613,1
52,192.168.50.8,60864,12319793,42,5180,300482,1
53,192.168.50.9,57932,1408,2,148,1408,1
54,192.168.50.8,60859,6946114,26,3144,277844,1
55,192.168.50.8,52807,33541,2,154,33541,0
56,192.168.50.8,60855,4767136,20,1514,250901,1
57,192.168.50.8,59608,56927383,97,21221,592993,0
58,192.168.50.8,59594,13181692,38,4902,356261,0
59,172.217.2.161,443,2933843566,80,12596,37137260,0
60,192.168.50.8,60870,1418,2,132,1418,1
61,192.168.50.8,59606,52585047,28,3716,1947594,0
62,192.168.50.8,58785,35478,2,160,35478,0
63,93.184.216.180,443,137507,6,444,27501,0
64,192.168.50.8,52859,28222,2,146,28222,0
65,192.168.50.8,60781,16862674,12,1010,1532970,1
66,192.168.50.6,54805,97092,4,240,32364,0
67,192.168.50.8,60876,5595968,8,492,799424,1
68,192.168.50.9,37312,4681868267,126,15570,37454946,0
69,172.217.9.226,443,4363993098,1340,816323,3259143,0
70,192.168.50.8,59145,33417,2,152,33417,0
71,192.168.50.8,60713,27906,2,186,27906,0
72,192.168.50.8,56022,26457,2,148,26457,0
73,23.194.108.29,443,114137,6,458,22827,0
74,54.192.53.175,443,556061361,66,23022,8554790,0
75,192.168.50.8,59601,84292056,35,4946,2479178,0
76,192.168.50.8,60893,6206124,36,12142,177317,1
77,192.168.50.9,60096,151525,8,682,21646,0
78,192.168.50.9,48200,201752,8,682,28821,0
79,192.168.50.6,54560,23112,2,120,23112,0
80,172.217.9.238,80,130276006,30,4716,4492276,0
81,192.168.50.6,60512,25453,2,152,25453,0
82,192.168.50.9,51072,1232,2,148,1232,1
83,52.28.108.167,443,2238253,8,528,319750,0
84,192.168.50.8,59599,73473696,42,7608,1792041,0
85,192.168.50.6,56118,15412198,24,4042,670095,1
86,192.168.50.8,60878,5350456,8,492,764350,1
87,192.168.50.3,0,40401399217,243,23814,166947930,0
88,172.16.0.5,41860,278290006,56,3360,5059818,0
89,192.168.50.6,54800,1856700,6,440,371340,0
90,192.168.50.8,60824,12111125,34,2862,367003,1
91,172.217.1.162,443,2933487393,340,239078,8653355,0
92,192.168.50.6,56144,1866113488,20,1562,98216499,0
93,192.168.50.6,56165,2646201,46,10692,58804,1
94,192.168.50.6,54814,12791287,20,2800,673225,0
95,192.168.50.8,60885,10280472,56,7226,186917,1
96,192.168.50.8,60847,3960958,16,1250,264063,1
97,192.168.50.6,56156,4718861,16,1194,314590,1
98,192.168.50.8,59600,76405453,34,4442,2315316,0
99,192.168.50.6,54804,388802,6,440,77760,0
100,192.168.50.8,60877,5285221,8,492,755031,1
101,172.16.0.5,17369,970107,36,5310,27717,0
102,192.168.50.8,60874,167067,2,132,167067,1
103,172.217.3.106,443,4356932540,307,200204,14238341,0
104,192.168.50.8,62338,33061,2,174,33061,0
105,192.168.50.8,60848,4047536,16,1250,269835,1
106,172.217.2.166,443,1849941435,137,47390,13602510,0
107,192.168.50.8,60872,8256507,18,1718,485676,1
108,192.168.50.9,57940,1760,2,148,1760,1
109,192.168.50.9,57944,2142,2,148,2142,1
110,192.168.50.8,59843,535693185,38,4254,14478194,0
111,192.168.50.8,60871,1103,2,132,1103,1
112,192.168.50.8,60846,4412799,20,1514,232252,1
113,192.168.50.8,61172,31295,2,148,31295,0
114,192.168.50.8,51821,28632,2,178,28632,0
