STT,SrcIP,SrcPort,FlowDur(ns),TotalPkts,TotalBytes,MeanIAT(ns),lof_score,Normal
1,192.168.50.8,54056,73895,2,172,73895,40.532001,0
2,192.168.50.8,59200,75572,2,170,75572,7.496000,0
3,192.168.50.8,52670,55024,2,154,55024,44.995998,0
4,192.168.50.6,55971,424060,4,320,141353,45.459999,0
5,192.168.50.9,57940,2150,2,148,2150,0.996000,1
6,192.168.50.8,62338,53002,2,174,53002,4.460000,0
7,172.217.12.162,443,3954564124,1059,703395,3737773,51.032001,0
8,192.168.50.8,49985,76588,2,184,76588,40.495998,0
9,172.217.9.226,80,4337615555,14,888,333662735,16.068001,0
10,192.168.50.8,59613,648044,8,1352,92577,20.424000,0
11,192.168.50.6,56155,1858360,16,960,123890,0.999000,1
12,192.168.50.8,59608,23416260,77,19707,308108,7.996000,0
13,192.168.50.8,60877,3534010,8,492,504858,1.068000,1
14,192.168.50.3,0,12559883204,50,4900,256324147,9.492000,0
15,192.168.50.8,62093,80045,2,174,80045,52.459999,0
16,172.217.3.100,443,4585035804,192,66991,24005423,19.424000,0
17,192.168.50.6,54832,95420,2,132,95420,29.459999,0
18,192.168.50.8,61001,72164,2,152,72164,36.068001,0
19,192.168.50.9,57658,948680,8,682,135525,45.459999,0
20,192.168.50.8,56531,74381,2,160,74381,0.496000,1
21,192.168.50.8,60847,4321544,16,1250,288102,1.138000,1
22,192.168.50.8,53546,370936373,8,652,52990910,16.959999,0
23,192.168.50.8,51666,78083,2,178,78083,20.996000,0
24,172.217.2.174,80,170615,6,1822,34123,1.023000,1
25,192.168.50.6,54853,33314495,72,20762,469218,16.351999,0
26,192.168.50.4,51560,4329091,18,1398,254652,1.019000,1
27,192.168.50.8,60889,8539112,56,9998,155256,0.986000,1
28,192.168.50.8,60882,9779582,137,35410,71908,1.026000,1
29,192.168.50.6,54815,41620816,16,1554,2774721,36.495998,0
30,192.168.50.6,54830,49467,2,132,49467,43.532001,0
31,192.168.50.8,59145,71419,2,152,71419,27.496000,0
32,192.168.50.8,58889,48887,2,138,48887,32.495998,0
33,192.168.50.8,60892,7093832,36,3052,202680,0.994000,1
34,172.217.9.226,443,4358946382,1224,759117,3564142,53.532001,0
35,192.168.50.6,56143,7139266,16,1250,475951,0.991000,1
36,192.168.50.8,55292,49059,2,168,49059,12.496000,0
37,192.168.50.6,54804,603775,6,440,120755,20.888000,0
38,172.16.0.5,41860,276644850,52,3120,5424408,48.959999,0
39,192.168.50.6,54821,41185425,12,1600,3744129,33.495998,0
40,192.168.50.8,59595,58005417,16,1788,3867027,7.996000,0
41,192.168.50.8,60360,74885,2,170,74885,54.995998,0
42,192.168.50.8,60873,8684852,16,1586,578990,1.201000,1
43,192.168.50.8,53461,33439,2,172,33439,52.995998,0
44,192.168.50.8,59607,63618734,34,5964,1927840,32.459999,0
45,192.168.50.8,58070,50801,2,146,50801,5.996000,0
46,192.168.50.8,52762,52453,2,152,52453,41.959999,0
47,192.168.50.8,60895,6812718,84,29134,82080,1.010000,1
48,192.168.50.8,59609,76234185,28,5464,2823488,3.996000,0
49,192.168.50.6,63064,21421135,4,340,7140378,7.996000,0
50,192.168.50.8,60856,3951115,20,1514,207953,1.013000,1
51,52.28.108.167,443,7489557,8,528,1069936,37.279999,0
52,172.217.1.162,443,3829280409,334,238558,11499340,43.495998,0
53,192.168.50.9,41488,637424,12,882,57947,32.424000,0
