STT,SrcIP,SrcPort,FlowDur(ns),TotalPkts,TotalBytes,MeanIAT(ns),Normal
1,192.168.50.8,60824,2017035090,34,2862,61122275,0
2,192.168.50.8,60852,338076949,16,1250,22538463,0
3,172.16.0.5,34032,785542366,6,360,157108473,0
4,172.16.0.5,39250,225228176,14,2254,17325244,0
5,192.168.50.8,60886,1176062087,20,2536,61898004,0
6,172.16.0.5,57379,377070330,30,4746,13002425,0
7,192.168.50.8,60854,341602015,20,1514,17979053,0
8,192.168.50.6,56159,435308059,42,5738,10617269,0
9,172.16.0.5,36552,3295479,2,814,3295479,0
10,172.16.0.5,34046,779201744,4,240,259733914,0
11,172.16.0.5,34031,786415546,4,240,262138515,0
12,172.16.0.5,33975,809451004,4,240,269817001,0
13,172.16.0.5,58103,3440071,2,858,3440071,0
14,172.16.0.5,52312,2399496,4,240,799832,0
15,172.16.0.5,34042,781093188,4,240,260364396,0
16,172.16.0.5,9321,620665050,4,240,206888350,0
17,172.16.0.5,34008,803797904,6,360,160759580,0
18,172.16.0.5,33991,806521524,8,480,115217360,0
19,172.217.1.162,443,37229777,12,1040,3384525,0
20,172.16.0.5,39635,779125133,6,360,155825026,0
21,172.16.0.5,34035,784706268,4,240,261568756,0
22,172.16.0.5,33974,811290975,6,360,162258195,0
23,192.168.50.8,60873,1966336487,16,1586,131089099,0
24,172.16.0.5,53093,479691901,4,240,159897300,0
25,172.16.0.5,33972,812132398,6,360,162426479,0
26,192.168.50.9,42742,99364273,4,280,33121424,0
27,192.168.50.8,60781,3057621423,12,1010,277965583,0
28,192.168.50.9,57932,591298,2,148,591298,0
29,192.168.50.6,56116,2615445667,30,2870,90187781,0
30,172.16.0.5,34038,783854855,6,360,156770971,0
31,172.16.0.5,61850,763946043,18,8712,44938002,0
32,172.16.0.5,34020,797578122,6,360,159515624,0
33,172.16.0.5,33987,806345873,4,240,268781957,0
34,172.16.0.5,53458,535200240,4,240,178400080,0
35,172.16.0.5,34249,377835927,4,240,125945309,0
36,192.168.50.8,60894,504376645,14,2014,38798203,0
37,192.168.50.9,57940,556288,2,148,556288,0
38,192.168.50.8,60891,1884292759,36,12158,53836935,0
39,172.16.0.5,34019,797501502,6,360,159500300,0
40,172.16.0.5,34036,784714278,4,240,261571426,0
41,172.16.0.5,32722,694317710,4,240,231439236,0
42,192.168.50.6,56125,319597581,16,1250,21306505,0
43,192.168.50.8,60887,231438801,18,2714,13614047,0
44,192.168.50.6,56155,176251370,16,960,11750091,0
45,172.16.0.5,14559,658146033,6,360,131629206,0
46,172.16.0.5,33988,806389452,4,240,268796484,0
47,172.217.2.174,80,31615383,6,1822,6323076,0
48,172.16.0.5,34000,806181774,6,360,161236354,0
49,192.168.50.8,60850,330078354,20,1514,17372544,0
50,172.16.0.5,28860,709976697,6,360,141995339,0
51,192.168.50.8,60892,1710301307,36,3052,48865751,0
52,192.168.50.8,60847,317746448,16,1250,21183096,0
53,172.16.0.5,23468,694553434,4,240,231517811,0
54,172.16.0.5,45469,419131154,4,240,139710384,0
55,172.16.0.5,34025,794841846,4,240,264947282,0
56,172.16.0.5,34024,796733027,6,360,159346605,0
57,172.16.0.5,42006,3257219,2,814,3257219,0
58,172.16.0.5,42139,18218883,4,1588,6072961,0
59,172.16.0.5,6085,615864390,4,240,205288130,0
60,172.217.2.166,443,43359592,16,1280,2890639,0
61,172.16.0.5,31086,686778317,4,240,228926105,0
62,172.16.0.5,33983,806190383,6,360,161238076,0
63,172.16.0.5,34026,793882882,4,240,264627627,0
64,192.168.50.6,56174,292962115,22,5352,13950576,0
65,172.16.0.5,34034,785607447,4,240,261869149,0
66,172.16.0.5,58776,460038786,4,240,153346262,0
67,192.168.50.8,60857,319415904,20,1514,16811363,0
68,172.16.0.5,34029,792095511,6,360,158419102,0
69,192.168.50.8,60876,1359455720,8,492,194207960,0
70,192.168.50.8,60856,335516258,20,1514,17658750,0
71,192.168.50.4,41489,479357,2,120,479357,0
72,192.168.50.6,56169,395444151,16,2652,26362943,0
73,192.168.50.8,60895,1613657231,84,29134,19441653,0
74,192.168.50.6,56156,406336731,16,1194,27089115,0
75,172.16.0.5,34006,803664651,6,360,160732930,0
76,192.168.50.8,60868,1619202446,16,1782,107946829,0
77,192.168.50.8,60849,335849201,20,1514,17676273,0
78,159.127.42.82,443,87528965,15,10738,6252068,0
79,172.16.0.5,34045,780178806,6,360,156035761,0
80,172.16.0.5,62035,586162664,6,360,117232532,0
81,172.16.0.5,36262,436342020,4,240,145447340,0
82,172.16.0.5,35708,370173299,4,240,123391099,0
83,192.168.50.8,60881,2560307124,30,3782,88286452,0
84,192.168.50.8,60867,2456658020,36,3044,70190229,0
85,172.16.0.5,39074,3505791,2,878,3505791,0
86,192.168.50.8,60858,249822546,24,1440,10861849,0
87,172.16.0.5,36749,726436944,6,360,145287388,0
88,172.16.0.5,33992,806519434,6,360,161303886,0
89,172.16.0.5,60035,265236141,34,5010,8037458,0
90,172.16.0.5,34005,805532492,6,360,161106498,0
91,192.168.50.8,60889,2262164397,56,9998,41130261,0
92,192.168.50.8,60883,2381494990,30,3754,82120516,0
93,192.168.50.9,51078,591688,2,148,591688,1
94,172.16.0.5,33179,3351265,2,838,3351265,0
95,172.16.0.5,34002,806324884,4,240,268774961,0
96,172.217.0.226,443,58090963,24,2080,2525694,0
97,192.168.50.8,60859,1694948179,26,3144,67797927,0
98,192.168.50.6,56145,412359643,16,1250,27490642,0
99,172.16.0.5,6353,592841004,4,240,197613668,0
100,172.16.0.5,33976,809588864,6,360,161917772,0
101,172.16.0.5,41860,2394769,4,240,798256,0
102,172.16.0.5,33984,806256570,8,480,115179510,0
103,172.16.0.5,41450,2905750,2,730,2905750,0
104,172.16.0.5,16549,661949810,4,240,220649936,0
105,192.168.50.8,60884,526603,2,132,526603,0
106,192.168.50.9,55330,103900532,4,280,34633510,0
107,192.168.50.8,60860,141795389,14,2512,10907337,0
108,172.16.0.5,27907,303599905,38,5458,8205402,0
109,192.168.50.8,60890,2209054627,52,14012,43314796,0
110,192.168.50.8,60877,1356493710,8,492,193784815,0
111,172.16.0.5,33986,806302868,4,240,268767622,0
112,192.168.50.9,51072,592035,2,148,592035,0
113,172.217.2.174,443,494913,2,132,494913,0
114,192.168.50.8,60875,477933,2,132,477933,0
115,192.168.50.6,56149,416185126,16,1250,27745675,0
116,172.217.2.162,443,591558,2,148,591558,1
117,172.16.0.5,50330,441151390,4,240,147050463,0
118,172.16.0.5,43239,391229207,4,240,130409735,0
119,172.16.0.5,34021,797626298,6,360,159525259,0
120,172.16.0.5,42180,3431636,2,858,3431636,0
121,172.16.0.5,34028,793947475,6,360,158789495,0
122,172.16.0.5,34004,805470279,4,240,268490093,0
123,192.168.50.4,51560,205517365,18,1398,12089256,0
124,192.168.50.6,56148,178230476,18,1130,10484145,0
125,172.16.0.5,34037,783825085,6,360,156765017,0
126,172.16.0.5,33993,806558133,6,360,161311626,0
127,172.16.0.5,36581,3511463,2,878,3511463,0
128,192.168.50.6,56166,495608229,28,3816,18355860,0
129,192.168.50.6,56164,323096389,8,492,46156627,0
130,192.168.50.8,60880,2592521365,86,18032,30500251,0
131,192.168.50.8,60845,315633504,20,1514,16612289,0
132,192.168.50.8,60864,2715265834,42,5180,66225995,0
133,172.16.0.5,34033,785589650,8,480,112227092,0
134,172.16.0.5,62839,587070365,8,480,83867195,0
135,172.16.0.5,48486,506429177,4,240,168809725,0
136,192.168.50.6,56150,416838189,16,1250,27789212,0
137,192.168.50.6,56142,391853115,16,1250,26123541,0
138,172.16.0.5,34012,800119260,4,240,266706420,0
139,172.16.0.5,38136,2997162,2,748,2997162,0
140,172.16.0.5,33996,806729449,4,240,268909816,0
141,192.168.50.6,56123,391149093,16,1250,26076606,0
142,172.16.0.5,899,660864310,10,600,73429367,0
143,172.16.0.5,33973,812193531,4,240,270731177,0
144,151.101.2.2,443,98968661,12,11934,8997151,0
145,172.217.2.164,443,45538175,10,920,5059797,0
146,192.168.50.9,57944,595923,2,148,595923,0
147,172.16.0.5,42035,3338647,2,834,3338647,0
148,172.16.0.5,43369,425787515,4,240,141929171,0
149,192.168.50.6,56122,386395409,16,1250,25759693,0
150,172.16.0.5,541,690764647,6,360,138152929,0
151,172.16.0.5,34480,3341233,2,838,3341233,0
152,192.168.50.8,60848,306147962,16,1250,20409864,0
153,172.16.0.5,34030,789249537,6,360,157849907,0
154,172.16.0.5,34023,797668210,4,240,265889403,0
155,172.16.0.5,33989,806437460,6,360,161287492,0
156,172.16.0.5,11254,673507933,4,240,224502644,0
157,172.16.0.5,44232,2986507,2,748,2986507,0
158,172.16.0.5,56203,515071499,4,240,171690499,0
159,192.168.50.8,60885,2380339613,56,7226,43278902,0
160,172.16.0.5,52449,445981427,4,240,148660475,0
161,172.16.0.5,34009,801910634,6,360,160382126,0
162,172.16.0.5,33971,813045769,4,240,271015256,0
163,192.168.50.4,22,898621469,174,44500,5194343,0
164,192.168.50.8,60872,1968315268,18,1718,115783251,0
165,172.16.0.5,34011,800068805,6,360,160013761,0
166,192.168.50.8,60855,337118963,20,1514,17743103,0
167,172.16.0.5,34040,782945040,4,240,260981680,0
168,192.168.50.4,0,823053310,56,25836,14964605,0
169,172.217.2.168,443,262497305,4,280,87499101,0
170,172.16.0.5,33389,789718876,4,240,263239625,0
171,172.16.0.5,60914,3509347,2,878,3509347,0
172,172.16.0.5,65236,576506073,6,360,115301214,0
173,192.168.50.9,57934,591036,2,148,591036,0
174,172.16.0.5,33997,806847622,6,360,161369524,0
175,192.168.50.8,60878,1356386914,8,492,193769559,0
176,172.16.0.5,34017,797415291,6,360,159483058,0
177,192.168.50.8,60870,526426,2,132,526426,0
178,172.16.0.5,34044,780156965,6,360,156031393,0
179,172.16.0.5,33994,806597768,6,360,161319553,0
180,172.16.0.5,34013,800154929,4,240,266718309,0
181,192.168.50.8,60888,2426146475,159,127325,15355357,0
182,172.16.0.5,33970,812990952,6,360,162598190,0
183,172.16.0.5,33995,806650732,8,480,115235818,0
184,192.168.50.6,56163,96670441,10,1470,10741160,0
185,192.168.50.8,60863,2717216060,44,5140,63191071,0
186,172.16.0.5,61450,710930276,8,480,101561468,0
187,172.16.0.5,33969,812935602,4,240,270978534,0
188,172.16.0.5,62341,633109644,6,360,126621928,0
189,192.168.50.6,56147,416832173,16,1250,27788811,0
190,192.168.50.8,60893,1508554318,36,12142,43101551,0
191,192.168.50.9,51082,589521,2,148,589521,0
192,172.16.0.5,34043,781117300,4,240,260372433,0
193,192.168.50.8,60862,1450723397,8,492,207246199,0
194,192.168.50.6,56144,411728459,16,1250,27448563,0
195,172.16.0.5,33979,809771924,4,240,269923974,0
196,192.168.50.6,56165,499519556,46,10692,11100434,0
197,172.16.0.5,5826,596756609,4,240,198918869,0
198,172.16.0.5,34007,803716558,4,240,267905519,0
199,172.217.2.98,443,52943299,20,1680,2786489,0
200,172.16.0.5,33977,809654080,4,240,269884693,0
201,172.16.0.5,36748,3357836,2,838,3357836,0
202,172.16.0.5,55580,3331122,2,834,3331122,0
