STT,SrcIP,SrcPort,FlowDur(ns),TotalPkts,TotalBytes,MeanIAT(ns),Normal
1,172.16.0.5,52312,332721879,40,2400,8531330,0
2,172.217.2.168,443,2621,2,132,2621,1
3,192.168.50.8,60889,10911999,56,9998,198399,1
4,172.217.3.106,443,4353793986,288,193947,15170013,0
5,192.168.50.6,62514,58278,2,148,58278,0
6,172.217.9.238,80,149401949,12,3540,13581995,0
7,192.168.50.3,0,7471933303,31,3038,249064443,0
8,192.168.50.6,58119,23908264,4,344,7969421,0
9,192.168.50.8,60882,12660010,137,35410,93088,1
10,192.168.50.8,53017,52913,2,166,52913,0
11,192.168.50.8,60824,13199323,34,2862,399979,1
12,192.168.50.8,60846,4899252,20,1514,257855,1
13,192.168.50.8,52670,60805,2,154,60805,0
14,192.168.50.8,53546,379596301,8,652,54228043,0
15,192.168.50.6,54834,50561,2,132,50561,0
16,192.168.50.6,54823,53313,2,132,53313,0
17,192.168.50.6,54857,20431255,20,2834,1075329,0
18,192.168.50.8,60856,5804064,20,1514,305477,1
19,52.85.90.206,443,4356403012,1092,1268531,3993036,0
20,192.168.50.8,60409,58313,2,176,58313,0
21,192.168.50.8,65282,53692,2,160,53692,0
22,192.168.50.9,57940,2195,2,148,2195,1
23,192.168.50.9,51072,1479,2,148,1479,1
24,52.28.108.167,443,1678461,8,528,239780,0
25,192.168.50.6,59077,67486,2,172,67486,0
26,192.168.50.8,60883,11220451,30,3754,386912,1
27,192.168.50.8,60855,4920131,20,1514,258954,1
28,192.168.50.6,56122,5593923,16,1250,372928,1
29,192.168.50.6,54831,51725,2,132,51725,0
30,192.168.50.6,56162,452163,20,2718,23798,1
31,192.168.50.6,54838,20986574,16,2522,1399104,0
32,192.168.50.6,52583,98048,2,170,98048,0
33,192.168.50.8,51052,52978,2,168,52978,0
34,192.168.50.8,53186,53802,2,142,53802,0
35,192.168.50.8,59611,30866970,20,5750,1624577,0
36,192.168.50.6,52308,101349,2,154,101349,0
37,192.168.50.8,60894,1575271,14,2014,121174,1
38,192.168.50.6,54837,15350292,8,1106,2192898,0
39,192.168.50.9,51074,1356,2,148,1356,1
40,192.168.50.8,60854,5012289,20,1514,263804,1
41,74.208.236.171,80,4661815520,1305,574979,3575011,0
42,192.168.50.6,56116,14857750,30,2870,512336,1
43,192.168.50.8,59601,18765252,24,4076,815880,0
44,192.168.50.8,62298,56208,2,148,56208,0
45,172.217.2.164,443,1865321821,139,22641,13516824,0
46,192.168.50.6,56145,6737700,16,1250,449180,1
47,192.168.50.8,60873,8644097,16,1586,576273,1
48,192.168.50.8,60853,4136649,26,1610,165465,1
49,192.168.50.6,54820,327507615,84,14298,3945874,0
50,192.168.50.8,60857,5963526,20,1514,313869,1
51,192.168.50.6,54830,51302,2,132,51302,0
52,172.217.12.162,443,3967041460,826,450607,4808535,0
53,192.168.50.6,56167,2968686,26,3698,118747,1
54,192.168.50.6,63064,24021729,4,340,8007243,0
55,192.168.50.6,54821,58477124,14,1720,4498240,0
56,192.168.50.9,46826,514900,12,888,46809,0
57,192.168.50.8,60886,3798267,20,2536,199908,1
58,192.168.50.8,60870,2070,2,132,2070,1
59,192.168.50.8,64820,31080,2,146,31080,0
60,192.168.50.6,54815,77291069,16,1554,5152737,0
61,192.168.50.8,60862,7396519,8,492,1056645,1
62,172.16.0.5,31151,80188598,28,4614,2969948,0
63,192.168.50.6,62431,153967,4,336,51322,0
64,192.168.50.6,54824,93652,2,132,93652,0
65,172.217.2.161,443,2911398873,72,11972,41005617,0
66,192.168.50.8,58785,55881,2,160,55881,0
67,192.168.50.8,52807,94961,2,154,94961,0
68,192.168.50.6,65408,51694,2,184,51694,0
69,192.168.50.8,55292,64949,2,168,64949,0
70,192.168.50.8,61172,64207,2,148,64207,0
71,192.168.50.9,57658,624991,8,682,89284,0
72,192.168.50.8,60944,52692,2,174,52692,0
73,192.168.50.8,53684,54385,2,148,54385,0
74,192.168.50.8,51666,51735,2,178,51735,0
75,192.168.50.8,55151,63641,2,146,63641,0
76,192.168.50.6,56143,6799546,16,1250,453303,1
77,192.168.50.6,54803,578511885,8,586,82644555,0
78,192.168.50.8,50816,113383,2,148,113383,0
79,192.168.50.6,56159,7469459,42,5738,182181,1
80,192.168.50.8,64358,56397,2,176,56397,0
81,192.168.50.8,60872,8513083,18,1718,500769,1
82,192.168.50.8,53267,30750,2,186,30750,0
83,192.168.50.6,56144,1849771596,20,1562,97356399,0
84,192.168.50.6,54839,20672941,16,2632,1378196,0
85,192.168.50.8,59200,56563,2,170,56563,0
86,192.168.50.9,48200,224014,8,682,32002,0
87,173.194.208.109,465,1813619,47,8757,39426,0
88,192.168.50.6,56165,2895268,46,10692,64339,1
89,192.168.50.8,59609,1358919,22,5012,64710,0
90,192.168.50.9,37312,4681673458,126,15570,37453387,0
91,192.168.50.8,59610,83920069,85,12012,999048,0
92,192.168.50.9,57934,2028,2,148,2028,1
93,192.168.50.6,57346,51308,2,154,51308,0
94,192.168.50.6,54842,87966,2,132,87966,0
95,35.158.163.158,443,68215,4,264,22738,0
96,192.168.50.8,50492,106454,2,172,106454,0
97,192.168.50.9,42676,2432,2,148,2432,1
98,192.168.50.8,60859,7359997,26,3144,294399,1
99,172.217.3.100,443,4593781481,226,75577,20416806,0
100,192.168.50.8,60497,31005,2,150,31005,0
101,192.168.50.8,60215,55842,2,170,55842,0
102,192.168.50.8,59613,80111156,14,1712,6162396,0
103,192.168.50.6,56174,359438,22,5352,17116,1
104,192.168.50.8,59606,87278934,18,3116,5134054,0
105,192.168.50.8,52983,53296,2,176,53296,0
106,192.168.50.6,56166,3060469,28,3816,113350,1
107,192.168.50.8,59843,517762809,38,4254,13993589,0
108,192.168.50.6,54848,266061,4,252,88687,0
109,192.168.50.8,59593,9868860,6,388,1973772,0
110,192.168.50.9,41488,428598,12,882,38963,0
111,172.217.2.170,443,369275,40,11678,9468,1
112,192.168.50.6,56163,444841,10,1470,49426,1
113,192.168.50.8,60893,6694766,36,12142,191279,1
114,192.168.50.8,60884,1429,2,132,1429,1
115,192.168.50.6,56155,1631084,16,960,108738,1
116,192.168.50.8,60875,1560,2,132,1560,1
117,192.168.50.6,54843,58836,2,132,58836,0
118,172.16.0.5,41077,334044988,34,2040,10122575,0
119,172.217.9.230,443,4349923990,649,572270,6712845,0
120,192.168.50.8,59383,116157,2,148,116157,0
121,192.168.50.8,56022,49287,2,148,49287,0
122,192.168.50.6,52929,89145,2,174,89145,0
123,192.168.50.6,54801,4674915,6,440,934983,0
124,172.217.12.206,80,4277884959,347,57488,12363829,0
125,172.217.2.166,443,1835755636,101,28762,18357556,0
126,192.168.50.6,54825,52208,2,132,52208,0
127,159.127.42.82,443,142011,15,10738,10143,1
128,192.168.50.8,60869,1795646216,4,278,598548738,0
129,192.168.50.6,56125,4890380,16,1250,326025,1
130,192.168.50.6,56371,51795,2,146,51795,0
131,192.168.50.9,42742,2190,2,148,2190,1
132,192.168.50.8,60895,7447416,84,29134,89727,1
133,172.16.0.5,41860,281004889,48,2880,5978827,0
134,192.168.50.6,54835,89845,2,132,89845,0
135,192.168.50.8,49985,53199,2,184,53199,0
136,192.168.50.6,51640,245371,4,340,81790,0
137,192.168.50.8,59608,53591048,77,19707,705145,0
138,192.168.50.6,54800,11029485,6,440,2205897,0
139,192.168.50.8,60845,4463378,20,1514,234914,1
140,192.168.50.6,59219,50808,2,148,50808,0
141,192.168.50.6,53166,155054,4,368,51684,0
142,192.168.50.6,54832,101328,2,132,101328,0
143,192.168.50.8,61667,65716,2,162,65716,0
144,192.168.50.8,52621,51581,2,168,51581,0
145,192.168.50.6,56169,2622748,16,2652,174849,1
146,192.168.50.8,65283,48843,2,160,48843,0
147,192.168.50.8,57360,53535,2,174,53535,0
148,192.168.50.6,60512,26995,2,152,26995,0
149,192.168.50.8,59612,30232710,8,584,4318958,0
150,192.168.50.8,60871,1497,2,132,1497,1
151,192.168.50.6,54836,21338342,8,1106,3048334,0
152,192.168.50.6,56142,6748707,16,1250,449913,1
153,192.168.50.6,58734,51369,2,154,51369,0
154,192.168.50.8,60892,7787898,36,3052,222511,1
155,192.168.50.6,55971,541212,4,320,180404,0
156,192.168.50.8,59598,79435363,8,492,11347909,0
157,172.217.2.98,443,2912008823,48,9464,61957634,0
158,192.168.50.8,60863,11906657,44,5140,276899,1
159,192.168.50.9,51082,1536,2,148,1536,1
160,192.168.50.8,54503,30864,2,138,30864,0
161,192.168.50.9,37652,183058,8,682,26151,0
162,172.217.12.193,443,3998643564,196,93250,20505864,0
163,54.192.53.175,443,551848042,58,22518,9681544,0
164,192.168.50.8,55876,57131,2,178,57131,0
165,192.168.50.6,50362,595017,4,356,198339,0
166,192.168.50.8,60877,5488201,8,492,784028,1
167,172.16.0.5,17369,1113959,36,5310,31827,0
168,192.168.50.8,62834,96548,2,158,96548,0
169,192.168.50.8,60360,59233,2,170,59233,0
170,192.168.50.8,60713,30261,2,186,30261,0
171,192.168.50.8,60781,17103598,12,1010,1554872,1
172,192.168.50.8,51821,31393,2,178,31393,0
173,192.168.50.6,63893,51319,2,148,51319,0
174,192.168.50.8,53345,94896,2,158,94896,0
175,192.168.50.6,54814,28388444,20,2800,1494128,0
176,192.168.50.9,51078,3371,2,148,3371,1
177,0.0.0.0,68,4674654811,1035,353970,4520942,0
178,192.168.50.8,49641,54565,2,148,54565,0
179,192.168.50.8,60484,52362,2,158,52362,0
180,192.168.50.8,60887,1175129,18,2714,69125,1
181,192.168.50.8,59599,85244047,26,6358,3409761,0
